DATE_KEY,YEAR,QUARTER,MONTH,MONTH_NAME,WEEK,DAY_OF_WEEK,IS_WEEKEND
4/7/2020,2020,2,4,April,15,Tuesday,FALSE
4/8/2020,2020,2,4,April,15,Wednesday,FALSE
4/9/2020,2020,2,4,April,15,Thursday,FALSE
4/10/2020,2020,2,4,April,15,Friday,FALSE
4/11/2020,2020,2,4,April,15,Saturday,TRUE
4/12/2020,2020,2,4,April,15,Sunday,TRUE
4/13/2020,2020,2,4,April,16,Monday,FALSE
4/14/2020,2020,2,4,April,16,Tuesday,FALSE
4/15/2020,2020,2,4,April,16,Wednesday,FALSE
4/16/2020,2020,2,4,April,16,Thursday,FALSE
4/17/2020,2020,2,4,April,16,Friday,FALSE
4/18/2020,2020,2,4,April,16,Saturday,TRUE
4/19/2020,2020,2,4,April,16,Sunday,TRUE
4/20/2020,2020,2,4,April,17,Monday,FALSE
4/21/2020,2020,2,4,April,17,Tuesday,FALSE
4/22/2020,2020,2,4,April,17,Wednesday,FALSE
4/23/2020,2020,2,4,April,17,Thursday,FALSE
4/24/2020,2020,2,4,April,17,Friday,FALSE
4/25/2020,2020,2,4,April,17,Saturday,TRUE
4/26/2020,2020,2,4,April,17,Sunday,TRUE
4/27/2020,2020,2,4,April,18,Monday,FALSE
4/28/2020,2020,2,4,April,18,Tuesday,FALSE
4/29/2020,2020,2,4,April,18,Wednesday,FALSE
4/30/2020,2020,2,4,April,18,Thursday,FALSE
5/1/2020,2020,2,5,May,18,Friday,FALSE
5/2/2020,2020,2,5,May,18,Saturday,TRUE
5/3/2020,2020,2,5,May,18,Sunday,TRUE
5/4/2020,2020,2,5,May,19,Monday,FALSE
5/5/2020,2020,2,5,May,19,Tuesday,FALSE
5/6/2020,2020,2,5,May,19,Wednesday,FALSE
5/7/2020,2020,2,5,May,19,Thursday,FALSE
5/8/2020,2020,2,5,May,19,Friday,FALSE
5/9/2020,2020,2,5,May,19,Saturday,TRUE
5/10/2020,2020,2,5,May,19,Sunday,TRUE
5/11/2020,2020,2,5,May,20,Monday,FALSE
5/12/2020,2020,2,5,May,20,Tuesday,FALSE
5/13/2020,2020,2,5,May,20,Wednesday,FALSE
5/14/2020,2020,2,5,May,20,Thursday,FALSE
5/15/2020,2020,2,5,May,20,Friday,FALSE
5/16/2020,2020,2,5,May,20,Saturday,TRUE
5/17/2020,2020,2,5,May,20,Sunday,TRUE
5/18/2020,2020,2,5,May,21,Monday,FALSE
5/19/2020,2020,2,5,May,21,Tuesday,FALSE
5/20/2020,2020,2,5,May,21,Wednesday,FALSE
5/21/2020,2020,2,5,May,21,Thursday,FALSE
5/22/2020,2020,2,5,May,21,Friday,FALSE
5/23/2020,2020,2,5,May,21,Saturday,TRUE
5/24/2020,2020,2,5,May,21,Sunday,TRUE
5/25/2020,2020,2,5,May,22,Monday,FALSE
5/26/2020,2020,2,5,May,22,Tuesday,FALSE
5/27/2020,2020,2,5,May,22,Wednesday,FALSE
5/28/2020,2020,2,5,May,22,Thursday,FALSE
5/29/2020,2020,2,5,May,22,Friday,FALSE
5/30/2020,2020,2,5,May,22,Saturday,TRUE
5/31/2020,2020,2,5,May,22,Sunday,TRUE
6/1/2020,2020,2,6,June,23,Monday,FALSE
6/2/2020,2020,2,6,June,23,Tuesday,FALSE
6/3/2020,2020,2,6,June,23,Wednesday,FALSE
6/4/2020,2020,2,6,June,23,Thursday,FALSE
6/5/2020,2020,2,6,June,23,Friday,FALSE
6/6/2020,2020,2,6,June,23,Saturday,TRUE
6/7/2020,2020,2,6,June,23,Sunday,TRUE
6/8/2020,2020,2,6,June,24,Monday,FALSE
6/9/2020,2020,2,6,June,24,Tuesday,FALSE
6/10/2020,2020,2,6,June,24,Wednesday,FALSE
6/11/2020,2020,2,6,June,24,Thursday,FALSE
6/12/2020,2020,2,6,June,24,Friday,FALSE
6/13/2020,2020,2,6,June,24,Saturday,TRUE
6/14/2020,2020,2,6,June,24,Sunday,TRUE
6/15/2020,2020,2,6,June,25,Monday,FALSE
6/16/2020,2020,2,6,June,25,Tuesday,FALSE
6/17/2020,2020,2,6,June,25,Wednesday,FALSE
6/18/2020,2020,2,6,June,25,Thursday,FALSE
6/19/2020,2020,2,6,June,25,Friday,FALSE
6/20/2020,2020,2,6,June,25,Saturday,TRUE
6/21/2020,2020,2,6,June,25,Sunday,TRUE
6/22/2020,2020,2,6,June,26,Monday,FALSE
6/23/2020,2020,2,6,June,26,Tuesday,FALSE
6/24/2020,2020,2,6,June,26,Wednesday,FALSE
6/25/2020,2020,2,6,June,26,Thursday,FALSE
6/26/2020,2020,2,6,June,26,Friday,FALSE
6/27/2020,2020,2,6,June,26,Saturday,TRUE
6/28/2020,2020,2,6,June,26,Sunday,TRUE
6/29/2020,2020,2,6,June,27,Monday,FALSE
6/30/2020,2020,2,6,June,27,Tuesday,FALSE
7/1/2020,2020,3,7,July,27,Wednesday,FALSE
7/2/2020,2020,3,7,July,27,Thursday,FALSE
7/3/2020,2020,3,7,July,27,Friday,FALSE
